[7]	1
[1]	7
[50]	1
[1]	50
[1]	56
[56]	1
[1]	64
[64]	1
[79]	1
[1]	79
[98]	1
[1]	98
[100]	1
[1]	100
[127]	1
[1]	127
[172]	1
[1]	172
[174]	1
[1]	174
[181]	1
[1]	181
[7]	50
[50]	7
[7]	56
[56]	7
[7]	64
[64]	7
[7]	79
[79]	7
[7]	98
[98]	7
[7]	100
[100]	7
[7]	127
[127]	7
[7]	172
[172]	7
[7]	174
[174]	7
[7]	181
[181]	7
[7]	258
[258]	7
[50]	9
[9]	50
[9]	56
[56]	9
[9]	64
[64]	9
[98]	9
[9]	98
[100]	9
[9]	100
[127]	9
[9]	127
[174]	9
[9]	174
[181]	9
[9]	181
[50]	56
[56]	50
[50]	64
[64]	50
[79]	50
[50]	79
[98]	50
[50]	98
[100]	50
[50]	100
[127]	50
[50]	127
[172]	50
[50]	172
[174]	50
[50]	174
[181]	50
[50]	181
[258]	50
[50]	258
[64]	56
[56]	64
[79]	56
[56]	79
[98]	56
[56]	98
[100]	56
[56]	100
[127]	56
[56]	127
[172]	56
[56]	172
[174]	56
[56]	174
[181]	56
[56]	181
[258]	56
[56]	258
[79]	64
[64]	79
[98]	64
[64]	98
[100]	64
[64]	100
[127]	64
[64]	127
[172]	64
[64]	172
[174]	64
[64]	174
[181]	64
[64]	181
[79]	98
[98]	79
[79]	100
[100]	79
[79]	127
[127]	79
[79]	172
[172]	79
[79]	174
[174]	79
[79]	181
[181]	79
[79]	258
[258]	79
[100]	98
[98]	100
[127]	98
[98]	127
[172]	98
[98]	172
[174]	98
[98]	174
[181]	98
[98]	181
[258]	98
[98]	258
[127]	100
[100]	127
[100]	172
[172]	100
[174]	100
[100]	174
[181]	100
[100]	181
[100]	258
[258]	100
[127]	172
[172]	127
[127]	174
[174]	127
[127]	181
[181]	127
[127]	258
[258]	127
[174]	172
[172]	174
[181]	172
[172]	181
[172]	258
[258]	172
[174]	181
[181]	174
[174]	258
[258]	174
[181]	258
[258]	181
[286]	50
[50]	286
[50]	313
[313]	50
[286]	100
[100]	286
[100]	313
[313]	100
[181]	313
[313]	181
[258]	313
[313]	258
[50, 7]	1
[1, 7]	50
[1, 50]	7
[1, 7]	56
[56, 7]	1
[56, 1]	7
[1, 7]	64
[64, 7]	1
[64, 1]	7
[7, 79]	1
[1, 7]	79
[1, 79]	7
[98, 7]	1
[1, 7]	98
[1, 98]	7
[100, 7]	1
[1, 7]	100
[1, 100]	7
[172, 7]	1
[1, 7]	172
[1, 172]	7
[174, 7]	1
[1, 7]	174
[1, 174]	7
[181, 7]	1
[1, 7]	181
[1, 181]	7
[1, 50]	56
[56, 50]	1
[56, 1]	50
[1, 50]	64
[64, 50]	1
[64, 1]	50
[50, 79]	1
[1, 79]	50
[1, 50]	79
[50, 98]	1
[1, 98]	50
[1, 50]	98
[50, 100]	1
[1, 100]	50
[1, 50]	100
[50, 127]	1
[1, 127]	50
[1, 50]	127
[50, 172]	1
[1, 172]	50
[1, 50]	172
[50, 174]	1
[1, 174]	50
[1, 50]	174
[50, 181]	1
[1, 181]	50
[1, 50]	181
[64, 1]	56
[56, 64]	1
[56, 1]	64
[1, 79]	56
[56, 79]	1
[56, 1]	79
[1, 98]	56
[56, 98]	1
[56, 1]	98
[1, 100]	56
[56, 100]	1
[56, 1]	100
[1, 127]	56
[56, 127]	1
[56, 1]	127
[1, 172]	56
[56, 172]	1
[56, 1]	172
